# FRONT	BACK
What is typical cache line size?	"64 bytes.

-- extra below --

To know the sizes, you need to look it up using the documentation for the processor, afaik there is no programatic way to do it. On the plus side however, most cache lines are of a standard size, based on intels standards. On x86 cache lines are 64 bytes, however, to prevent false sharing, you need to follow the guidelines of the processor you are targeting (intel has some special notes on its netburst based processors), generally you need to align to 64 bytes for this (intel states that you should also avoid crossing 16 byte boundries).

To do this in C or C++ requires that you use aligned_malloc or one of the compiler specific specifiers such as __attribute__((align(64))) or __declspec(align(64)). To pad between members in a struct to split them onto different cache lines, you need on insert a member big enough to align it to the next 64 byte boundery"
What is latency?	Latency is the delay from input into a system to desired outcome. The time interval between between a stimulus and response.
What is a y-fast trie?	A y-fast trie is a data structure for storing integers from a bounded domain. It supports exact and predecessor or successor queries in time O(log log M), using O(n) space, where n is the number of stored values and M is the maximum value in the domain. The structure was proposed by Dan Willard in 1982 to decrease the O(n log M) space used by an x-fast trie.
What is an x-fast trie?	An x-fast trie is a data structure for storing integers from a bounded domain. It supports exact and predecessor or successor queries in time O(log log M), using O(n log M) space, where n is the number of stored values and M is the maximum value in the domain. The structure was proposed by Dan Willard in 1982, along with the more complicated y-fast trie, as a way to improve the space usage of van Emde Boas trees, while retaining the O(log log M) query time.
What is a van Emde Boas tree?	"The van Emde Boas tree supports insertions, deletions, lookups, successor queries, and predecessor queries in time O(log log U), where U is the universe of items to store. Items are stored in clusters of size sqrt(U). 

The van Emde Boas data structure divides the range {0,...,n−1} into blocks of size sqrt(n), which we call clusters. Each cluster is itself a vEB structure of size sqrt(n). In addition, there is a “summary” structure that keeps track of which clusters are nonempty.

More detail:
A van Emde Boas tree (or van Emde Boas priority queue), also known as a vEB tree, is a tree data structure which implements an associative array with m-bit integer keys. It performs all operations in O(log m) time, or equivalently in O(log log M) time, where M = 2m is the maximum number of elements that can be stored in the tree. The M is not to be confused with the actual number of elements stored in the tree, by which the performance of other tree data-structures is often measured. The vEB tree has good space efficiency when it contains a large number of elements, as discussed below. It was invented by a team led by Dutch computer scientist Peter van Emde Boas in 1975."
What is a compressed trie?	It's a trie where the non-branching paths are compacted into a single edge.
What relationship of the keys do you lose with a hash table?	The ordering of the keys.
Sed command to take a file separated by spaces, turn spaces into newlines, and then sort it alphabetically.	sed 's/ /\n/g' words.txt | sort
Print columns 2, 3, and 6 from the date command.	date | awk '{print $2, $3, $6}'
Take a file delimited by : and make it tab-delimited.	cat /etc/passwd | sed 's/:/\t/g'
Output a file with line numbers.	cat -n somefile
Is quicksort stable?	No.
Can quicksort be done in-place?	Yes.
Can merge sort be done in-place?	No. It requires O(n) space. There is an in-place version?
Is merge sort stable?	Yes.
Is insertion sort stable?	Yes.
Can insertion sort be done in-place?	Yes.
Can selection sort be done in-place?	Yes.
Is selection sort stable?	No.
Is heap sort stable?	No.
Can heap sort be done in-place?	Yes.
In what case would perfect hashing be practical?	When you don't need to support inserts or deletes. The data is static.
How does perfect hashing handle collisions?	It creates a second hash table in the buckets where there are multiple items (k), using a second hash function, and k^2 space. The hash table has two hashing levels. k^2 is chosen because the Markov inequality (birthday paradox) ensures we will not have collisions in bucket.
What is the optimal load factor for a hash table?	O(sqrt(n))
What is the expected load factor for a hash table?	n/m,  where n = items, m = buckets) n/m is also called alpha.
What is the technical running time for operations on a hash table?	O(1 + alpha), where alpha is the load factor (n/m). Table doubling operations are amortized.
What is the worst-case search time of perfect hashing?	O(1)
What is the worst-case space required for perfect hashing?	O(n)
What's the best-case running time of binary search?	O(1) - we get lucky and find the element right at the midpoint.
What's the worst-case running time of binary search?	O(log n)
What are the downsides of using an adjacency matrix to represent a graph?	"Finding all the outgoing edges from a vertex takes O(n) time even if there aren't very many, and the O(n^2) space cost is high for ""sparse graphs,"" those with much fewer than n^2 edges."
When is using an adjacency list expensive?	Finding predecessors of a node u is extremely expensive, requiring looking through every list of every node in time O(n + e), where e is the total number of edges, although if this is something we actually need to do often we can store a second copy of the graph with the edges reversed.
When are adjacency lists most useful?	Adjacency lists are most useful when we mostly want to enumerate outgoing edges of each node. This is common in search tasks, where we want to find a path from one node to another or compute the distances between pairs of nodes. If other operations are important, we can optimize them by augmenting the adjacency list representation; for example, using sorted arrays for the adjacency lists reduces the cost of edge existence testing to O(log(d+ (u))), and adding a second copy of the graph with reversed edges lets us find all predecessors of u in O(d− (u)) time, where d− (u) is u's in-degree.
What is the space required for a graph using an adjacency list?	O(n + e)
What's the maximum unsigned number you can represent with 4 bits?	15
What's the maximum unsigned number you can represent with 8 bits?	255
What's the maximum unsigned number you can represent with 16 bits?	65,535
What's the maximum unsigned number you can represent with 6 bits?	63
What's the maximum unsigned number you can represent with 15 bits?	32,767
What's the maximum signed number you can represent with 4 bits?	7
What's the maximum signed number you can represent with 16 bits?	32,767
What's the maximum signed number you can represent with 8 bits?	127
What's the maximum signed number you can represent with 9 bits?	255
What's the maximum unsigned number you can represent with 32 bits?	4.294 Billion
What's the maximum signed number you can represent with 32 bits?	2.147 Billion
How do you get the logarithm of a number n given a base b?	Keep dividing n by b until you get to a number <= 1.
How can you write log(base b)(ac)?	log(base b)a + log(base b)c
How can you write log(base b)(a/c)?	log(base b)a - log(base b)c
How else can you write log(base b)(a^c)?	c * log(base b)a
How you can express log(base b)a as another base?	log(base d)a / log(base d)b
Why is log(base2)(2^n) == n?	log(base2)(2^n) = n * log(base 2)2 = n * 1 = n
What is the arithmetic series: 1 + 2 + 3 + 4 + ... (n - 1) + n?	(n(n+1)) / 2
What is the value of the geometric (exponential) series when x != 1: 1 + x + x^2 + x^3 + ... x^n ?	(x^(n + 1) - 1) / (x - 1)
What is the sum of this series when it's infinite and x < 1? 1 + x + x^2 + x^3 + ... x^n ?	1 / (1 - x)
What is the sum of the harmonic series for the nth harmonic number: 1 + 1/2 + 1/3 + 1/4 .. + 1/n	"No closed form, only good approximations:

≈ 0.57721
the Euler-Mascheroni constant."
What is the maximum unsigned integer you can represent with n bits?	2^n - 1
Given a fully balanced binary tree with x nodes, what is the height of the tree in nodes?	log(base2) x + 1
Given a fully balanced k-ary tree with x nodes, what is the height of the tree in nodes?	log(basek) x + 1
A binary tree with height h can contain at most how many nodes?	2^(h+1) − 1 nodes
For a k-ary tree with height h, the upper bound for the maximum number of leaves is:	k^h
What is the complexity of Dijkstra's shortest-path algorithm?	"O(e log v), where e is the number of edges. 
It must scan each edge, and gets and updates values on the heap."
What is a drawback of using an adjacency matrix for an undirected graph?	Half of the entries in the matrix are duplicates.
What is the memory needed to store an adjacency list?	Theta( |V| + |E| )
What is the memory needed to store an adjacency matrix?	Theta(|V|^2)
How would you implement a queue with a linked list?	Use a tail pointer. Push new items at the tail, pop items at the head. Both operations are constant-time.
How would you implement a stack with a linked list?	Push and pop items at the head. Both operations are constant-time.
What preference of nodes vs leaves does preorder traversal give on a tree?	Nodes first, leaves later.
What preference of nodes vs leaves does postorder traversal give on a tree?	Leaves first, internal nodes later.
What could you use in DFS to turn a recursive algorithm into an interative one?	A stack.
What do you use to keep track of nodes to visit in BFS?	A queue.
Using a stack to keep track of unvisited nodes gives what kind of traversal?	DFS
Using a queue to keep track of unvisited nodes gives what kind of traversal?	BFS
In a highly connected graph of n vertices, how many cycles can there be?	(n - 1)! - enumerating is possible (using backtracking), but there will be a lot.
What can use to find if a graph is bipartite?	BFS. Using only 2 colors. When you encounter a new vertex, if it has no color, give it the opposite color of its parent vertex. If it is already colored the same, the graph is not bipartite.
How can you find a cycle in a graph?	DFS. If you discover an edge that connects to an ancestor (previously discovered vertex), you have a cycle.
What is an articulation vertex?	A vertex of a graph whose deletion disconnects the graph.
How can you find an articulation vertex?	"DFS multiple times. Remove each edge one at a time, doing a DFS after each, so see if you end up with > 1 connected components. If you remove a node and then DFS and find you have fewer than m - 1 edges, you've deleted an articulation vertex. O(n(n+m))

A faster way, with a little more bookkeeping, can be done in O(n+m) time, if you do DFS and keep track of parents and make a note when you reach a back edge, which connects to an ancestor."
How could you identify errors in a DNA fragment assembly given many pairs of sequences, where item A must appear before B in the larger sequence?	Build a DAG representing all the left-right constraints. Any topological sort of the DAG is a consistent ordering. If there are cycles, there must be errors.
What path does BFS find in a graph?	The shortest path tree from start to all nodes (unweighted)
What's the upper bound on the number of edges in a graph G(V, E)?	|V|^2
In Python, initialize a list of lists called x with 100 elements.	x = [[] for _ in range(100)]
What is the optimal substructure property tell us about shortest paths?	That a subpath of a shortest path is also a shortest path.
What is a Dunder method?	A magic method in Python, such as __getitem__ and __len__.
What is the sum of numbers from 1 to 2^n?	"2^(n+1) - 1
The sum of a sequence of powers is roughly equal to the next value in the sequence."
How many ways can you rearrange a string of n unique characters?	"n!
Permutations."
How many ways can you arrange k characters from n unique characters?	"n! / (n - k)!
Permutation of n elements of size k."
How many subsets (ordering doesn't matter) of size k are there in n unique characters?	"n! / k!(n - k)!
This is n choose k."
What should you avoid in your base case in recursion?	"Too many base case scenarios. Just have one base case so you can return as quickly as possible. Avoid ""arm's length"" recursion."
What is the bandwidth of a graph?	The longest edge in the permutation that gives you the shortest edges.
When talking dynamic programming, what is feasibility?	The rules the algorithm must adhere to in reaching its solution.
When talking dynamic programming, what is optimality?	An algorithm has optimality if the subsolutions of an optimal solution of the problem are themsleves optimal solutions for their subproblems.
What is dynamic programming?	"Dynamic programming is a general-purpose algorithm design technique that is most often used to solve combinatorial optimization problems, where we are looking for the best possible input to some function chosen from an exponentially large search space.

There are two parts to dynamic programming. The first part is a programming technique: dynamic programming is essentially divide and conquer run in reverse: we solve a big instance of a problem by breaking it up recursively into smaller instances; but instead of carrying out the computation recursively from the top down, we start from the bottom with the smallest instances of the problem, solving each increasingly large instance in turn and storing the result in a table. The second part is a design principle: in building up our table, we are careful always to preserve alternative solutions we may need later, by delaying commitment to particular choices to the extent that we can.

The bottom-up aspect of dynamic programming is most useful when a straightforward recursion would produce many duplicate subproblems. It is most efficient when we can enumerate a class of subproblems that doesn't include too many extraneous cases that we don't need for our original problem."
What is the complexity for a naive recursive Fibonacci function?	"Θ(φ^n), where phi(φ) is the golden ratio (1 + sqrt(5)) / 2. 
approx: 1.618"
What does __getitem__ in a class allow us to use?	"- iteration
- slicing
- reverse iteration
- random.choice"
How many subsets are there in n items?	2^n
What is a contiguously-allocated structures, and give examples.	Contiguously-allocated structures are composed of single slabs of memory, and include arrays, matrices, heaps, and hash tables.
What are linked data structures and give examples.	Linked data structures are composed of distinct chunks of memory bound together by pointers, and include lists, trees, and graph adjacency lists.
What are some benefits of arrays?	"- Constant-time access given the index
- Space efficiency
- Memory locality"
Why is memory locality important?	Physical continuity between successive data accesses helps exploit the high-speed cache memory on modern computer architectures.
What are some advantages to linked lists over arrays?	"- Overflow on linked structures can never occur unless the memory is actually full.
- Insertions and deletions are simpler than for contiguous (array) lists.
- With large records, moving pointers is easier and faster than moving the items themselves."
What are some advantages to arrays over linked lists?	"- Linked structures require extra space for storing pointer fields.
- Linked lists do not allow efficient random access to items.
- Arrays allow better memory locality and cache performance than random pointer jumping."
Codeless question: Write a function to find the middle node of a singly-linked list.	How would you do it?
Codeless question: Write a function to compare whether two binary trees are identical. Identical trees have the same key value at each position and the same structure.	How?
Codeless quesiton: Write a program to convert a binary search tree into a linked list.	How would you do it?
Codeless Question: You are given a search string and a magazine. You seek to generate all the characters in search string by cutting them out from the magazine. Give an algorithm to efficiently determine whether the magazine contains all the letters in the search string.	How would you do it?
Codeless question: Give an algorithm for finding an ordered word pair (e.g., “New York”) occurring with the greatest frequency in a given webpage. Which data structures would you use?	"You could use a hash table, creating or updating an entry for each pair. 
Keep track of max_frequency and most_frequent_phrase.
Just increment the count, and when you see the new count is > than max_frequency, update max_frequency and most_frequent_phrase"
Codeless question: Given a set of n numbers, how do you find the pair of numbers that have the smallest difference between them?	Sort them: Once the numbers are sorted, the closest pair of numbers must lie next to each other somewhere in sorted order. Thus, a linear-time scan through them completes the job, for a total of O(n log n) time including the sorting.
Codeless question: Are there any duplicates in a given set of n items?	This is a special case of the closest-pair problem, where we ask if there is a pair separated by a gap of zero. The most efficient algorithm sorts the numbers and then does a linear scan though checking all adjacent pairs.
Codeless question: Given a set of n items, which element occurs the largest number of times in the set? Bonus: How do you find out how many times some element k appears?	"If the items are sorted, we can sweep from left to right and count them, since all identical items will be lumped together during sorting.

To find out how often an arbitrary element k occurs, look up k using binary search in a sorted array of keys. Then use binary search in each direction to find where that run of the number begins and ends."
Codeless question: Give an efficient algorithm to determine whether two sets (of size m and n, respectively) are disjoint.	"The small set can be sorted in O(m log m) time. We can now do a binary search with each of the n elements in the big set, looking to see if it exists in the small one. The total time will be O((n + m) log m).

This is better than sorting the larger array or sorting both sets and going through the list."
What is a uniform distribution?	When a known finite number of outcomes are equally likely to occur. When graphed as a histogram of occurrences, it's a flat line. N items each have 1/n probability.
What is a normal distribution?	The standard normal probability density function has the famous bell shape that is known to just about everyone.
What is an n-gram?	A set of N sequential words appearing together.
What's the maximum unsigned number you can represent with 9 bits?	511
Whats the average height of a binary search tree after n insertions?	"2 ln n
About 39% taller than a perfectly balanced BST"
What is the runtime of randomized quicksort?	Theta(n log n) time on any input, with high probability.
Python: Default arguments are okay to use with the following caveat.	"Do not use mutable objects as default values in the function or method definition.

Lists are not ok."
Python: Give an example of a conditional expression.	x = 1 if cond else 2
Python: break this string 'a/b/c' into a list of ['a', 'b', c']	'a/b/c'.split('/')
Python: split a word or sentences into characters.	list('some words')
What's the difference between foo.sort() and sorted(foo) where foo is a list?	"foo.sort() changes the list to its sorted state
sorted(foo) doesn't change foo, just returns a sorted list."
Can you sort a tuple?	"Yes, using sorted(foo)
but not with foo.sort()"
Python: How would you remove indices 6 to 11 in a list foo?	del foo[6:12]
Python: How can you tell if an index is in a list?	if 0 < i < len(foo):
What's the probability of getting heads twice? P(HH)	"1/4 
= 1/2 * 1/2"
What's the probability of getting heads, tails, heads? P(HTH)	"1/8 
= 1/2 * 1/2 * 1/2
the ordering of HTH doesn't matter. It could be TTH or HHH or TTT, they are tall the same."
What's the probability of getting heads 200 times in a row?	(1/2)^200
What's the Probability of getting head, tails or tails, heads? P(HT U TH)	(1/2 * 1/2) + (1/2 * 1/2) = 2/4 = 1/2
What's the probability of getting exactly 3 heads in 8 flips?	"56/256 = 7/32

(8 choose 3)/2^8"
You have 26 letters in an alphabet. How many ways you can arrange 3 letters from that alphabet where repeated letters is OK?	26*26*26 = 26^3 = 17,576
You have 26 letters in an alphabet. How many ways you can arrange 3 letters from that alphabet without repeating a letter?	26*25*24 = 26 permute 3 = 15,600
Given an alphabet of 26 letters, how many times you can you choose 3 letters, if ordering of the letters doesn't matter?	26*25*24 / 3! = 2600
What is 0! ?	1
There are 4 people. How many ways can they shake each other's hands without shaking the same person's hand twice?	"6
= 4 choose 2
= 4 * 3 / 2"
Right-propagate the rightmost 1-bit, producing all 1's if x = 0 (e.g., 01011000 01011111):	x |= (x - 1)
Isolate the right-most bit in x.	x & ~(x - 1)
What is P?	The set of all problems solvable in polynomial time.
What is EXP?	The set of all problems solvable in exponential time.
What is R? (not real numbers)	The set of problems solvable in finite time.
Is the Halting Problem in R?	No.
What does NP mean? What is an NP algorithm?	NP is the set of decision problem solvable in non-deterministric polynomial time. An NP problem can be solved by a lucky algorithm that magically always finds a yes decision. NP problems can be checked in polynomial time.
What makes a problem NP-Complete?	"If x is an element of NP and of NP-hard. NP-Complete is the narrow intersection of NP and NP-hard.

Because NP is such a large class of problems, most NP-hard problems you encounter will actually be complete."
What is Fib(0) ?	0
What is Fib(3) ?	2
What is Fib(2) ?	1
What is a PTAS?	Polynomial-time approximation scheme.
What is a pointer?	A memory address stored in memory.
Give 2 examples of common data structures that contain reference cycles.	"- Doubly-linked lists
- Trees with parent and child pointers"
What is a weak reference in Python?	"A weak reference to an object does not affect its reference count. 
When the only remaining references to a referent are weak references, garbage collection is free to destroy the referent and reuse its memory for something else. A primary use for weak references is to implement caches or mappings holding large objects, where it’s desired that a large object not be kept alive solely because it appears in a cache or mapping."
How does garbage collection work in CPython?	"CPython uses reference counting and generational garbage collection. There are 3 age stages where objects live in memory. They all start in the ""nursery"", stage0, then if they survive a garbage collection, they are moved to stage1, the oldest objects that continue to survive in stage1 are promoted to stage2. The gc module has thresholds 700, 10, 10 for each stage. In order to decide when to run, the collector keeps track of the number object allocations and deallocations since the last collection. When the number of allocations minus the number of deallocations exceeds threshold0, collection starts. If generation 0 has been examined more than threshold1 times since generation 1 has been examined, then generation 1 is examined as well. Similarly, threshold2 controls the number of collections of generation 1 before collecting generation 2."
What is reference counting?	RC is a method of garbage collection. The runtime keeps track of references to an object by manipulating the reference count on each assignment and delete (del), and when the reference count reaches 0 it means the object is practically unreachable. When the next collection runs, the object's memory will be reserved to allocate for new objects.
What is a finalizer in Python?	A finalizer is a destructor, named __del__. __del__() is run when the runtime is about to destroy the object.
What are 2 advantages of reference counting?	"- easy to implement
- collects garbage incidentally without large pauses in execution."
What are 2 disadvantages of reference counting?	"- it cannot collect circular references
- manipulating reference counts at each assignment is very slow."
What is cyclic garbage collection?	Detects and removes cycles unreachable by the program.
How is garbage collection done in PyPy?	"The GC implementation can be chosen at runtime. It's pluggable.
PyPy uses mark and sweep, and generational gc optimization. Marked objects are promoted from the nursery to an older generation.
PyPy uses incremental garbage collection, where major collection is split into multiple passes, each lasting only a few milliseconds."
What is a pointer?	A pointer is a memory address stored in memory.
How does mark and sweep work?	(In Java) Perform a DFS on the graph of references to objects. This graph can have multiple roots. Each root is a reference that the program can access directly, such as a variable. Traverse the graph, setting a mark bit in each object. The sweep phase causes unmarked memory to be linked together in a list, so that memory can be reallocated. Sometimes this also triggers compaction, which moves used objects adjacent to each other in memory. The side effect of this is that free memory is also adjacent to free memory so large blocks can be allocated.
What is copying garbage collection (stop and copy)?	Heap memory is split into 2 partitions: an old space and a new space. Find live objects by DFS of their reference graph, and move live objects into the new space. The new space is now called the old space. Unreachable objects are simply left in the old space to be overwritten the next time collection occurs. The movement of objects implicitly compacts the objects. Disadvantage: you can only use half of the heap space.
How could you implement an LRU cache?	"A fast lookup table, like a hash table or binary tree, and a linked list of items by use. When you access or add an item, you delete it from the linked list and add it to the head of the list.  Then to prune, traverse the linked list and remove trailing elements, and delete them from the storage (tree or hash table).
You can also use a splay tree, since it moves accesses to the root. To prune items, somehow find and remove the leaves, since the number of leaves will be about n/2."
What is a direct mapped cache?	It's a type of cache used in the CPU, where the lower order bits of a given memory address are used modulo the number of cache lines to place or lookup in the cache. Collisions are treated as overwrites.
What is a fully-associative cache?	"It's a type of cache used in the CPU, where lookups are done on all cache lines in parallel to determine a hit or miss.

This requires a very large number of comparators that increase the complexity and cost of implementing large caches. Therefore, this type of cache is usually only used for small caches, typically less than 4K."
Disadvantage of a fully-associative cache?	"- expensive due to parallel checks
- complexity of implementing this scheme"
How do some processors handle caching for data and instructions?	There will be a slightly slower (3-4 clocks latency) separate cache for data.
What is an N-way set associative cache?	A Set-Associative cache scheme is a combination of Fully-Associative and Direct Mapped caching schemes. A set-associate scheme works by dividing the cache SRAM into equal sections (2 or 4 sections typically) called cache ways. The cache page size is equal to the size of the cache way. Each cache way is treated like a small direct mapped cache.
Describe the memory hierarchy of a Core i7 processor.	"Inside of each core is a 32 kB L1 instruction cache, a 32 kB L1 data cache (it's 8-way set associative), and a dedicated 256 kB L2 cache (also 8-way set associative). 
Outside of the cores is the L3, which is much larger at 8 MB and smarter (16-way associative) than the L2s."
When is entropy at its maximum?	When all outcomes are equal.
As predictability increases, what happens to entropy?	It decreases.
As it relates to compression, as entropy increases, does our ability to compress increase?	No, it decreases.
What does low entropy mean?	Very predictable.
What is entropy?	The minimum number of bits needed to represent x number of states. Also, information we don't know.
What is a Caesar cipher?	The cipher created by shifting/rotating an alphabet by a specific number previously agreed upon.
What is a polyalphabetic cipher?	A cipher where each letter is shifted based on the shifts of letters in a key word.
What is the entropy of n equally likely outcomes?	log(n)
Is GET idempotent?	Yes
Is PUT idempotent?	Yes.
Is POST idempotent?	No.
Is DELETE idempotent?	According to the REST spec, yes, but it's up to the developer to conform to that. It can be achieved by using a deleted flag for a resource instead of completely removing the resource.
What is idempotent?	The property that a method has side-effects of making more than one identical requests is the same as for a single request.
What is HMAC?	HMAC is a keyed-hash message authentication code used to provide a checksum for a message, sent along with the message to provide confidence that the message has not been tampered.
What is a MAC?	MAC is a message authentication code used to provide a checksum for a message, sent along with the message to provide confidence that the message has not been tampered.
How does RSA work?	It's a public/private key cryptography method. The public key can be used to encrypt a message into ciphertext that only the owner of the key can decrypt. The owner of the key uses their secret key to encrypt messages, and their secret key to decrypt messages encrypted with their public key.
What is the phi function?	It answers the number of integers <= n that do not share a common factor with n.
What is phi(n) if n is prime?	n - 1
What is the gcd of a number a and prime p when p is prime?	1, unless a is a pseudoprime (Carmichael number)
What does SHA stand for?	One of the family of Secure Hashing Algorithms.
What is the largest output size of SHA-3?	512 bits
What are desirable properties of one-way functions?	"- collision resistant
- target collision resistant
- non-malleable"
If a one-way function is collision-resistant, does that mean it's also target collision-resistant?	Yes.
If a one-way function is target collision-resistant, does that mean it's also collision-resistant?	No.
What is symmetric key encryption?	There is a known encryption function, and one key is used to encrypt and decrypt. The key has to be shared between 2 parties.
How does Diffie-Hellman key exchange work?	2 parties agree on a G and a modulus p, and each party comes up with a number. One party does G^a and the other G^b. They pass this information. One party A computes the key from B as B^a mod p. B computes A^b mod p to get the key.
Is Diffie-Hellman key exchange perfect?	No. A man in the middle can intercept one side, and communicate with parties A and B independently.
How is RSA (using product of large primes) better than using NP-Complete algorithms for encryption?	NP-Complete algorithms are hard in the worst case, but can be sometimes solved in linear time in the average case. Compositing the product of large primes is hard in the average case.
What is Vigenere cipher?	"Improvement on Caesar cipher. Letters are shifted based on a shifted dictionary. ""Polyalphabetic cipher"""
What is a one-time pad encryption?	"The ""perfect"" simple encryption scheme. Pad/key is the same size as the message being encrypted. The key is randomly generated and xored against the plain text. Or key used to determine the amount each letter should be shifted."
What is block size in cryptography?	Symmetric key ciphers are generally divided into stream ciphers and block ciphers. Block ciphers operate on a fixed length string of bits. The length of this bit string is the block size. Both the input (plaintext) and output (ciphertext) are the same length; the output cannot be shorter than the input – this is logically required by the Pigeonhole principle and the fact that the cipher must be invertible – and it is simply undesirable for the output to be longer than the input.
What is the limiting factor of compression?	For lossless compression, it's entropy. For lossy compression, it's our acceptance with the amount of loss.
What is LZ* compression based on?	Cataloging the positions and lengths of redundant patterns and combining the values with a dictionary.
What is LZMA?	It's a variant of LZ77 that uses Markov chains. It's used in the 7z compression algorithms used in 7-zip.
What is DEFLATE?	It's an lossless compression algorithm based on LZ77 used in Gzip, WinZip, and mod_deflate, which is bundled with Apache web server for automated gzip compression of HTTP served content. It uses LZ77 and Huffman coding.
How does LZ77-based compression work?	"LZ77 is a dictionary encoding algorithm, which is a statistical encoding algorithm. Compression in the LZ77 algorithm is based on the notion that strings of characters (words, phrases, etc.) occur repeatedly in the message being compressed.

The input is partitioned into 2 segments: a search buffer and a look-ahead buffer. The search buffer maxes out at 32KB. Starting with one character in the LA buffer, it looks back in the search buffer to find a copy of the symbol. If one is found, it looks at the second symbol of the LA buffer to see if it also matches the predecessor. Using this method, it can detect long phrases of symbols and encode them as one unit.

This process implicitly creates a rolling statistical probability for each symbol/phrase."
What is Huffman encoding?	Huffman encoding algorithm analyzes the occurrence of individual symbols and creates a binary tree where the common symbols are closest to the root, using fewer bits to encode, and less common/rare symbols have longer paths on the tree, with longer encodings to accommodate. By traversing the tree, from root to leaf, and keeping track of 1 or 0 at each node, we can determine the encoding of the symbol.
What is the primary factor of compression?	Probability of redundant portions of input.
How can you maximize compression?	By deeply analyzing the given input to reduce redundancy as much as possible.
What compression scheme uses Burrows-Wheeler transform?	BZip2
What is the Burrows-Wheeler transform?	"It's a compression method involving the sorting of all possible rotations of the input text into lexicographic order. Take as output the last column and the index of the row that the original text appears in. 

To decode, take the single column and repeatedly add the final columns characters to each of the rows, sorting each time. Once you've reached the length of the column's height, use the index to find the output string."
For Gzip in web servers, what is the usual setting?	6
What is the min and max compression settings in command line gzip?	0-9
How can you make JSON better compressable with Gzip?	Transpose from multiple mini-dicts into one dict with arrays as the values. This allows the items in an array to fit within the 32KB search buffer common to LZ-based compression.
What are Dense Codes?	A way to put symbols or words into a dictionary or array, and use the indices as the values in the text to save space so that words are not repeated.
